  0   0.000   0.000   0   0    0  480
11   4.487   7.142   3   1  115  130
8   3.904  -5.261   3   1    0 1440
 7   0.861   6.903   3   1    0 1440
4  -7.374  -1.107   3   1    0 1440
15   2.792  -7.944   3   1  180  195
 5  -9.251   8.321   3   1    0 1440
 16   5.212   9.271   3   1  366  381
14   7.835  -9.269   3   1  160  175
 27   7.032   2.808   3  -1    0 1440
24   1.271   1.018   3  -1  298  313
23  -9.800   5.697   3  -1  400  415 
20   6.883   0.882   3  -1  138  153 
31  -9.450   3.792   3  -1    0 1440
21   5.586  -1.554   3  -1   82   97
32  -8.819  -4.749   3  -1    0 1440
30   6.634  -7.426   3  -1    0 1440 
33   0.000   0.000   0   0    0  480
