  0   0.000   0.000   0   0    0  480
  1  -1.198  -5.164   3   1    0 1440
  2   5.573   7.114   3   1    0 1440
  3  -6.614   0.072   3   1    0 1440
  4  -7.374  -1.107   3   1    0 1440
  5  -9.251   8.321   3   1    0 1440
  6   6.498  -6.036   3   1    0 1440
  7   6.687   6.731   3  -1  402  417
  8  -2.192  -9.210   3  -1  322  337
  9  -1.061   8.752   3  -1  179  194
 10   6.883   0.882   3  -1  138  153
 11   5.586  -1.554   3  -1   82   97
 12  -9.865   1.398   3  -1   49   64
 13   0.000   0.000   0   0    0  480
